               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  21,              0.0135,            0.005379,           0.0088131,               0.955,             0.95018,             0.97774,              0.9086,           0.0049858,           0.0024453,           0.0026305,             0.00802,             0.00802,             0.00802
                  22,            0.013696,           0.0052305,           0.0073808,             0.95644,              0.9409,             0.97651,             0.90828,           0.0048745,           0.0024319,           0.0025368,            0.007921,            0.007921,            0.007921
                  23,            0.013025,           0.0052767,            0.008629,             0.94667,             0.92614,             0.97577,             0.90475,           0.0051006,           0.0025237,           0.0026867,            0.007822,            0.007822,            0.007822
                  24,            0.012672,            0.005296,           0.0080527,             0.93934,             0.94983,             0.97473,             0.91873,           0.0045478,           0.0023197,           0.0027436,            0.007723,            0.007723,            0.007723
                  25,             0.01229,           0.0052105,           0.0078004,              0.9506,             0.94083,             0.97528,             0.91587,           0.0046206,           0.0023693,           0.0025647,            0.007624,            0.007624,            0.007624
                  26,            0.012755,           0.0050833,           0.0071069,             0.94467,              0.9312,             0.97459,             0.91583,           0.0044482,           0.0023079,           0.0026973,            0.007525,            0.007525,            0.007525
                  27,            0.012722,           0.0050452,           0.0072489,             0.94339,             0.95494,             0.97652,             0.91791,           0.0047391,            0.002331,            0.002413,            0.007426,            0.007426,            0.007426
                  28,            0.012064,           0.0050184,           0.0067152,             0.94447,             0.96064,             0.97498,             0.92439,           0.0043171,           0.0022369,           0.0022798,            0.007327,            0.007327,            0.007327
                  29,            0.012497,           0.0049616,           0.0072193,             0.95791,             0.93985,             0.97213,             0.91644,           0.0043185,           0.0022967,           0.0031441,            0.007228,            0.007228,            0.007228
                  30,            0.011862,           0.0049054,           0.0070208,             0.96266,             0.94826,             0.97882,              0.9327,           0.0042055,           0.0022526,           0.0024465,            0.007129,            0.007129,            0.007129
                  31,            0.012175,           0.0050271,           0.0067584,             0.95876,             0.95315,             0.98202,             0.93454,           0.0045275,           0.0022497,           0.0022141,             0.00703,             0.00703,             0.00703
                  32,            0.011803,           0.0049371,           0.0065003,             0.95927,             0.95109,             0.97761,             0.92869,           0.0042338,           0.0022496,           0.0024671,            0.006931,            0.006931,            0.006931
                  33,             0.01143,           0.0049168,           0.0063852,             0.96043,             0.94216,             0.98105,             0.93411,           0.0041863,            0.002186,           0.0022557,            0.006832,            0.006832,            0.006832
                  34,            0.011545,           0.0048787,           0.0063093,             0.95688,              0.9433,             0.97645,             0.92871,           0.0041457,           0.0022595,           0.0024288,            0.006733,            0.006733,            0.006733
                  35,            0.011349,             0.00486,           0.0068574,             0.95817,             0.95021,             0.97842,             0.93411,           0.0040866,           0.0021903,            0.002145,            0.006634,            0.006634,            0.006634
                  36,            0.011468,            0.004821,           0.0062143,             0.95299,             0.95419,             0.97931,             0.93706,           0.0040902,           0.0021874,           0.0024366,            0.006535,            0.006535,            0.006535
                  37,            0.011201,           0.0048361,           0.0067025,             0.96959,             0.94672,             0.97953,             0.93716,            0.004088,           0.0022009,           0.0023152,            0.006436,            0.006436,            0.006436
                  38,            0.011138,            0.004763,           0.0063669,             0.95163,             0.94468,             0.98011,             0.94047,           0.0040058,           0.0021506,           0.0022904,            0.006337,            0.006337,            0.006337
                  39,            0.011148,           0.0047119,           0.0062566,             0.95857,             0.94759,             0.97623,             0.93448,           0.0040837,           0.0021769,           0.0023555,            0.006238,            0.006238,            0.006238
                  40,            0.010873,           0.0046449,           0.0065579,             0.93725,             0.97035,             0.98351,             0.94732,           0.0038942,           0.0021547,           0.0020597,            0.006139,            0.006139,            0.006139
                  41,            0.010883,           0.0047141,           0.0066562,             0.94523,             0.96108,             0.98177,             0.94613,           0.0037825,           0.0021397,           0.0018739,             0.00604,             0.00604,             0.00604
                  42,            0.010734,           0.0047094,           0.0062908,             0.96321,             0.95519,              0.9792,             0.93797,           0.0039184,            0.002123,           0.0019679,            0.005941,            0.005941,            0.005941
                  43,            0.010624,           0.0046057,           0.0057698,             0.95438,             0.96064,             0.97999,             0.94369,           0.0038606,           0.0020789,           0.0019606,            0.005842,            0.005842,            0.005842
                  44,            0.010399,           0.0046435,           0.0063551,             0.95247,              0.9632,             0.98078,             0.94393,           0.0038329,           0.0021055,           0.0019641,            0.005743,            0.005743,            0.005743
                  45,            0.010496,           0.0046481,           0.0054529,             0.94436,             0.95789,             0.98288,             0.94867,           0.0036747,           0.0020499,           0.0019366,            0.005644,            0.005644,            0.005644
                  46,            0.010299,           0.0045648,           0.0058285,             0.96047,             0.96172,             0.98221,             0.94394,           0.0037359,           0.0020578,           0.0019008,            0.005545,            0.005545,            0.005545
                  47,            0.010316,            0.004573,           0.0058385,             0.96229,             0.96228,             0.98122,             0.94453,           0.0037257,            0.002064,           0.0019109,            0.005446,            0.005446,            0.005446
                  48,            0.010187,           0.0046139,           0.0060177,             0.96243,             0.95561,             0.98201,             0.94311,           0.0037458,            0.002059,           0.0020525,            0.005347,            0.005347,            0.005347
                  49,            0.010024,           0.0044992,           0.0056459,             0.96089,             0.95823,             0.98218,             0.94719,           0.0036958,           0.0020273,           0.0017918,            0.005248,            0.005248,            0.005248
                  50,            0.010104,           0.0045374,           0.0055563,              0.9616,             0.96424,             0.98336,             0.95063,           0.0035616,           0.0020505,           0.0018702,            0.005149,            0.005149,            0.005149
                  51,            0.010319,           0.0044148,           0.0050726,             0.96488,             0.95439,             0.98312,             0.94846,           0.0036759,           0.0020673,           0.0017451,             0.00505,             0.00505,             0.00505
                  52,            0.010105,           0.0043964,           0.0055075,             0.95684,              0.9584,             0.98337,             0.95042,           0.0036045,           0.0020239,            0.001776,            0.004951,            0.004951,            0.004951
                  53,           0.0098923,           0.0043709,            0.005462,             0.95722,             0.96156,             0.98136,             0.95027,           0.0035668,           0.0020019,           0.0018998,            0.004852,            0.004852,            0.004852
                  54,           0.0095478,            0.004406,           0.0053805,             0.96037,             0.96435,             0.98302,             0.95412,           0.0035247,           0.0019685,           0.0016825,            0.004753,            0.004753,            0.004753
                  55,           0.0097914,           0.0043393,           0.0049687,             0.95691,             0.96384,             0.98361,             0.95408,           0.0035792,           0.0019978,           0.0017328,            0.004654,            0.004654,            0.004654
                  56,           0.0098716,           0.0043296,           0.0052288,             0.95965,             0.96238,              0.9838,             0.95408,           0.0035533,           0.0019404,           0.0017303,            0.004555,            0.004555,            0.004555
                  57,           0.0095344,           0.0043169,           0.0047156,             0.96568,             0.96295,             0.98451,             0.95627,           0.0034759,           0.0019148,           0.0016779,            0.004456,            0.004456,            0.004456
                  58,           0.0093113,           0.0042881,           0.0048894,             0.96459,             0.96071,             0.98516,             0.95635,           0.0034792,           0.0019276,           0.0016493,            0.004357,            0.004357,            0.004357
                  59,           0.0095964,           0.0043215,           0.0049878,             0.96092,             0.96746,             0.98416,             0.95135,           0.0034578,           0.0019643,           0.0016921,            0.004258,            0.004258,            0.004258
                  60,           0.0093841,           0.0042309,           0.0048971,             0.96247,             0.97142,             0.98377,              0.9525,           0.0035247,           0.0019664,           0.0016777,            0.004159,            0.004159,            0.004159
                  61,           0.0092007,           0.0043121,           0.0043922,             0.96869,             0.96185,             0.98436,             0.95729,           0.0034811,           0.0019249,           0.0016079,             0.00406,             0.00406,             0.00406
                  62,           0.0092649,           0.0042625,           0.0042445,              0.9656,             0.96621,             0.98494,             0.95841,           0.0034811,           0.0019145,           0.0015858,            0.003961,            0.003961,            0.003961
                  63,           0.0089904,           0.0042476,           0.0045337,             0.95533,             0.96905,             0.98388,             0.95624,           0.0034578,           0.0019122,           0.0017547,            0.003862,            0.003862,            0.003862
                  64,            0.009259,           0.0041637,           0.0050993,             0.97046,             0.96447,             0.98463,             0.95619,           0.0034644,           0.0019253,            0.001566,            0.003763,            0.003763,            0.003763
                  65,           0.0093962,           0.0041393,           0.0045843,             0.95353,              0.9704,             0.98391,             0.95714,           0.0034526,           0.0019295,           0.0016012,            0.003664,            0.003664,            0.003664
                  66,           0.0090803,           0.0041537,           0.0044082,             0.95973,             0.96553,             0.98425,              0.9562,           0.0034065,            0.001913,            0.001585,            0.003565,            0.003565,            0.003565
                  67,           0.0086958,           0.0041235,           0.0039752,             0.95851,             0.96878,              0.9842,             0.95774,           0.0033855,           0.0019008,           0.0015493,            0.003466,            0.003466,            0.003466
                  68,           0.0086835,           0.0040455,           0.0039034,             0.96093,             0.96213,             0.98369,             0.95777,           0.0033778,           0.0018871,           0.0016846,            0.003367,            0.003367,            0.003367
                  69,           0.0086306,           0.0040295,           0.0040403,             0.96206,             0.96962,             0.98479,              0.9582,           0.0033754,           0.0018857,           0.0015059,            0.003268,            0.003268,            0.003268
                  70,           0.0085316,           0.0040912,           0.0038057,              0.9579,             0.97153,             0.98446,             0.95731,           0.0033607,           0.0018766,           0.0015453,            0.003169,            0.003169,            0.003169
                  71,           0.0083683,            0.004032,           0.0041086,             0.95785,             0.97306,             0.98436,             0.95617,           0.0033612,           0.0018943,           0.0014922,             0.00307,             0.00307,             0.00307
                  72,           0.0082722,           0.0040055,           0.0041416,             0.97258,             0.95717,             0.98421,             0.95856,           0.0033757,           0.0018908,            0.001381,            0.002971,            0.002971,            0.002971
                  73,           0.0083717,           0.0038694,           0.0043273,             0.97131,             0.95943,             0.98612,             0.96182,           0.0033384,           0.0018514,           0.0013647,            0.002872,            0.002872,            0.002872
                  74,           0.0081629,           0.0039213,           0.0039203,             0.96854,             0.96101,             0.98487,             0.95787,           0.0033487,           0.0018581,           0.0014701,            0.002773,            0.002773,            0.002773
                  75,           0.0082215,           0.0039579,           0.0040399,             0.96537,             0.95808,             0.98561,              0.9618,           0.0032889,           0.0018642,           0.0014831,            0.002674,            0.002674,            0.002674
                  76,           0.0083107,           0.0038907,           0.0035737,             0.95851,             0.96882,             0.98546,             0.96131,           0.0032924,           0.0018657,           0.0014539,            0.002575,            0.002575,            0.002575
                  77,           0.0082692,           0.0038233,           0.0036859,             0.95545,             0.97249,             0.98596,             0.96095,           0.0032655,           0.0018545,           0.0014053,            0.002476,            0.002476,            0.002476
                  78,           0.0079889,           0.0038411,           0.0033348,             0.96238,             0.96488,             0.98468,             0.95902,           0.0032931,           0.0018514,           0.0014599,            0.002377,            0.002377,            0.002377
                  79,           0.0078018,           0.0037798,           0.0034111,             0.96567,             0.96764,             0.98579,             0.96102,           0.0032553,           0.0018476,           0.0014314,            0.002278,            0.002278,            0.002278
                  80,           0.0079104,           0.0037994,           0.0036069,             0.96566,             0.96957,             0.98523,             0.96248,           0.0032374,           0.0018218,           0.0014389,            0.002179,            0.002179,            0.002179
                  81,           0.0076481,           0.0038105,           0.0034058,             0.96809,              0.9647,             0.98434,             0.96017,           0.0032364,           0.0018221,           0.0014459,             0.00208,             0.00208,             0.00208
                  82,           0.0077393,            0.003812,           0.0031014,             0.96467,             0.96599,             0.98387,             0.96273,           0.0032197,           0.0018123,           0.0014314,            0.001981,            0.001981,            0.001981
                  83,           0.0076118,            0.003861,           0.0033837,             0.96564,             0.96601,             0.98364,             0.96089,           0.0032285,           0.0018185,           0.0013908,            0.001882,            0.001882,            0.001882
                  84,           0.0073992,            0.003783,           0.0030186,               0.965,             0.96832,             0.98425,             0.96109,           0.0032262,            0.001819,           0.0013831,            0.001783,            0.001783,            0.001783
                  85,           0.0074525,            0.003818,           0.0030713,             0.96882,             0.96532,             0.98412,              0.9612,           0.0032014,             0.00181,           0.0013918,            0.001684,            0.001684,            0.001684
                  86,            0.007487,           0.0036831,           0.0038738,             0.97029,             0.95723,             0.98314,              0.9604,           0.0032012,           0.0018097,            0.001438,            0.001585,            0.001585,            0.001585
                  87,           0.0073493,           0.0037019,           0.0029584,             0.97201,             0.96313,              0.9834,             0.96095,           0.0032013,           0.0018126,            0.001423,            0.001486,            0.001486,            0.001486
                  88,           0.0073322,           0.0037403,            0.003006,             0.96413,             0.97065,             0.98355,             0.95983,           0.0032013,           0.0018126,           0.0014239,            0.001387,            0.001387,            0.001387
                  89,           0.0070521,           0.0036608,            0.002847,             0.96809,             0.96483,             0.98333,             0.95961,           0.0032014,           0.0018115,           0.0014169,            0.001288,            0.001288,            0.001288
                  90,           0.0070998,           0.0036585,           0.0027877,             0.97106,             0.96099,             0.98315,             0.95999,           0.0032034,           0.0018095,           0.0014435,            0.001189,            0.001189,            0.001189
                  91,           0.0068516,           0.0035816,           0.0027153,             0.97194,             0.96244,             0.98322,             0.96031,           0.0031945,           0.0018054,           0.0014458,             0.00109,             0.00109,             0.00109
                  92,           0.0069765,           0.0036525,           0.0026713,             0.97283,             0.96041,             0.98298,             0.95953,           0.0032031,            0.001804,           0.0014633,            0.000991,            0.000991,            0.000991
                  93,           0.0068845,            0.003566,           0.0023805,             0.96349,             0.96683,             0.98291,             0.95926,           0.0031929,           0.0017982,           0.0014772,            0.000892,            0.000892,            0.000892
                  94,           0.0066923,           0.0035014,           0.0025497,             0.97061,             0.95905,             0.98313,             0.96022,           0.0031892,           0.0017953,           0.0014813,            0.000793,            0.000793,            0.000793
                  95,           0.0066895,           0.0035499,           0.0023966,              0.9726,              0.9587,             0.98317,             0.96097,           0.0031739,           0.0017914,            0.001471,            0.000694,            0.000694,            0.000694
                  96,           0.0066223,           0.0034718,           0.0026878,             0.96669,             0.96486,             0.98295,             0.96166,           0.0031683,            0.001791,           0.0015175,            0.000595,            0.000595,            0.000595
                  97,           0.0065109,           0.0035363,           0.0024151,             0.96904,             0.96282,             0.98289,             0.96296,           0.0031533,           0.0017834,           0.0014942,            0.000496,            0.000496,            0.000496
                  98,            0.006512,           0.0035497,            0.002453,             0.97124,               0.962,             0.98329,             0.96359,           0.0031492,           0.0017824,           0.0014922,            0.000397,            0.000397,            0.000397
                  99,           0.0064479,           0.0035364,           0.0022831,             0.97072,             0.96243,              0.9832,             0.96289,            0.003149,            0.001781,              0.0015,            0.000298,            0.000298,            0.000298
